epoch,matthews_corrcoef,confusion_matrix,f1_score,accuracy_score,loss
1,0.4581013676634158,"[[79764  2348]
 [10652  6311]]",0.49262352665677933,0.8687862730254857,0.33976786716599644
2,0.4702623634760008,"[[80100  2012]
 [10683  6280]]",0.4973272619283311,0.8718647489275801,0.3120322493124619
3,0.48745583098312617,"[[79060  3052]
 [ 9600  7363]]",0.5378771276207174,0.8722987635629573,0.2926694910315131
4,0.493117621884104,"[[79575  2537]
 [ 9857  7106]]",0.5341652258888971,0.8749028513752208,0.27411233262529283
5,0.5010760406540885,"[[77825  4287]
 [ 8529  8434]]",0.5682522571082065,0.8706434519303557,0.25783722737174664
6,0.49713850774171975,"[[78501  3611]
 [ 9036  7927]]",0.5562611838181117,0.8723492303810245,0.24294236544787506
7,0.49775630308509694,"[[77887  4225]
 [ 8634  8329]]",0.5643527458752583,0.8702094372949786,0.22973759593876392
8,0.4879995336683133,"[[76534  5578]
 [ 8044  8919]]",0.5670057215511761,0.8625082008579359,0.2166075152436995
9,0.4916072036651119,"[[77774  4338]
 [ 8688  8275]]",0.559575331349743,0.8685238455715367,0.20627655219135652
10,0.4881670882184064,"[[77374  4738]
 [ 8518  8445]]",0.5602733364293769,0.8662023719404491,0.19579672580516044
11,0.488459518683084,"[[77166  4946]
 [ 8391  8572]]",0.5624487385584462,0.8653848094877618,0.18692046245746644
12,0.4843255846903515,"[[76299  5813]
 [ 7991  8972]]",0.5652009575406325,0.8606712086802927,0.17799534952965337
13,0.4886126539921257,"[[76962  5150]
 [ 8271  8692]]",0.5643239733809445,0.8645369669442342,0.17060460538699698
14,0.4835317006405729,"[[77207  4905]
 [ 8514  8449]]",0.5573770491803279,0.864557153671461,0.16363475840833056
15,0.4780446912096277,"[[77631  4481]
 [ 8872  8091]]",0.5478923311325546,0.865223315669947,0.1569873270232216
16,0.4898393974777321,"[[77240  4872]
 [ 8406  8557]]",0.563108712819163,0.8659803179409539,0.15112783046881495
17,0.4822121923680432,"[[76612  5500]
 [ 8205  8758]]",0.5610326382883316,0.8616704516780217,0.14519768151757226
18,0.4771173477995691,"[[77804  4308]
 [ 8994  7969]]",0.5450752393980848,0.8657380772142317,0.1409760481554958
19,0.4819656817705438,"[[77201  4911]
 [ 8542  8421]]",0.5559333223304176,0.8642139793086046,0.13523384069046063
20,0.47586632184934624,"[[77087  5025]
 [ 8599  8364]]",0.5511333684765419,0.8624880141307091,0.13117897570296827
21,0.4813643005582249,"[[76738  5374]
 [ 8292  8671]]",0.5592750257997936,0.8620640928589453,0.1274172741230505
22,0.4800300312511305,"[[76316  5796]
 [ 8088  8875]]",0.5611051400391983,0.8598637395912188,0.12396089132126042
23,0.4628147016210817,"[[74881  7231]
 [ 7707  9256]]",0.5534230194319881,0.8492253343426697,0.12017978597911429
24,0.4695087253238217,"[[76100  6012]
 [ 8187  8776]]",0.5528014865673522,0.8566843300529902,0.11735285040360881
25,0.48811929358610234,"[[76098  6014]
 [ 7805  9158]]",0.5699704372179866,0.8605198082260913,0.11413906038703972
26,0.4805239091968557,"[[74999  7113]
 [ 7397  9566]]",0.5686938945365911,0.8535452939692152,0.11043797537576187
27,0.4784967872947382,"[[75181  6931]
 [ 7530  9433]]",0.5660875566357608,0.854039868786273,0.10803018663637072
28,0.4867319381870877,"[[77128  4984]
 [ 8404  8559]]",0.5611355143250507,0.8648700479434772,0.10628147436677252
29,0.4801311463890709,"[[77177  4935]
 [ 8565  8398]]",0.5543966200158438,0.8637395912187736,0.1033592174882303
30,0.4796773014528725,"[[76831  5281]
 [ 8378  8585]]",0.5569431379545233,0.8621347464042393,0.10141476360652053
31,0.4726059368865075,"[[74462  7650]
 [ 7301  9662]]",0.5637928519328957,0.8490941206156952,0.09911013462184817
32,0.4891921119793661,"[[76130  5982]
 [ 7800  9163]]",0.5707611810140775,0.860893262679788,0.096323970084142
33,0.47491780735914646,"[[76824  5288]
 [ 8470  8493]]",0.5524980483996877,0.8611355034065102,0.09391704465902151
34,0.48096596903803357,"[[76535  5577]
 [ 8188  8775]]",0.560434296662941,0.8610648498612162,0.09312951677973717
35,0.48305196764531616,"[[76998  5114]
 [ 8404  8559]]",0.5587544065804935,0.863557910673732,0.09158159002423186
36,0.4799633930974199,"[[76428  5684]
 [ 8150  8813]]",0.5602670057215512,0.8603684077718899,0.08946446786873667
37,0.4712470315874934,"[[76076  6036]
 [ 8139  8824]]",0.5545674512145304,0.8569265707797123,0.08768892462067868
38,0.4787090918022572,"[[75883  6229]
 [ 7885  9078]]",0.5626278277037495,0.8575422659601312,0.08737178799394375
39,0.4700262072348123,"[[76717  5395]
 [ 8509  8454]]",0.548747241334545,0.8596618723189503,0.08509828074295407
40,0.48194777174408476,"[[76902  5210]
 [ 8372  8591]]",0.5585099466909375,0.8629119354024729,0.08421260783862305
41,0.48022345237213043,"[[76913  5199]
 [ 8413  8550]]",0.5567856212555353,0.8626091344940702,0.0827897686774103
